"Day";"IdLabel";"block";"lockdown_type"
6;"Bat 72";13;0
6;"Bat 72";14;0
6;"Bat 72";15;2
6;"Bat 72";16;0
6;"Bat 72";17;0
6;"Bat 72";18;0
6;"Bat 72";19;0
6;"Bat 72";20;1
6;"Bat 72";21;0
6;"Bat 72";22;0
6;"Bat 72";23;0
6;"Bat 72";24;2
6;"Bat 72";25;0
6;"Bat 72";26;0
6;"Bat 72";27;0
6;"Bat 72";28;0
6;"Bat 72";29;2
6;"Bat 72";30;0
6;"Bat 72";31;0
6;"Bat 72";32;0
6;"Bat 72";33;0
6;"Bat 72";34;0
6;"Bat 72";35;1
6;"Bat 72";36;0
6;"Bat 72";37;0
6;"Bat 72";38;0
6;"Bat 72";39;0
6;"Bat 72";40;0
6;"Bat 72";41;0
6;"Bat 72";42;1
6;"Bat 72";43;0
6;"Bat 72";44;0
6;"Bat 72";45;0
6;"Bat 72";46;0
6;"Bat 72";47;2
6;"Bat 72";48;0
6;"Bat 72";49;0
6;"Bat 72";50;0
6;"Bat 72";51;0
6;"Bat 72";52;1
6;"Bat 72";53;0
6;"Bat 72";54;0
6;"Bat 72";55;0
6;"Bat 72";56;2
6;"Bat 72";57;0
6;"Bat 72";58;0
6;"Bat 72";59;0
6;"Bat 72";60;2
6;"Bat 72";61;0
6;"Bat 72";62;0
6;"Bat 72";63;0
6;"Bat 72";64;0
7;"Bat 61";1;0
7;"Bat 61";2;0
7;"Bat 61";3;0
7;"Bat 61";4;0
7;"Bat 61";5;0
7;"Bat 61";6;0
7;"Bat 61";7;1
7;"Bat 61";8;0
7;"Bat 61";9;0
7;"Bat 61";10;0
7;"Bat 61";11;1
7;"Bat 61";12;0
7;"Bat 61";13;0
7;"Bat 61";14;0
7;"Bat 61";15;2
7;"Bat 61";16;0
7;"Bat 61";17;0
7;"Bat 61";18;0
7;"Bat 61";19;0
7;"Bat 61";20;1
7;"Bat 61";21;0
7;"Bat 61";22;0
7;"Bat 61";23;0
7;"Bat 61";24;2
7;"Bat 61";25;0
7;"Bat 61";26;0
7;"Bat 61";27;0
7;"Bat 61";28;0
7;"Bat 61";29;2
7;"Bat 61";30;0
7;"Bat 61";31;0
7;"Bat 61";32;0
7;"Bat 61";33;0
7;"Bat 61";34;0
7;"Bat 61";35;1
7;"Bat 61";36;0
7;"Bat 61";37;0
7;"Bat 61";38;0
7;"Bat 61";39;0
7;"Bat 61";40;0
7;"Bat 61";41;0
7;"Bat 61";42;1
7;"Bat 61";43;0
7;"Bat 61";44;0
7;"Bat 61";45;0
7;"Bat 61";46;0
7;"Bat 61";47;2
7;"Bat 61";48;0
7;"Bat 61";49;0
7;"Bat 61";50;0
7;"Bat 61";51;0
7;"Bat 61";52;1
7;"Bat 61";53;0
7;"Bat 61";54;0
7;"Bat 61";55;0
7;"Bat 61";56;2
7;"Bat 61";57;0
7;"Bat 61";58;0
7;"Bat 61";59;0
7;"Bat 61";60;2
7;"Bat 61";61;0
7;"Bat 61";62;0
7;"Bat 63";1;0
7;"Bat 63";2;0
7;"Bat 63";3;0
7;"Bat 63";4;0
7;"Bat 63";5;0
7;"Bat 63";6;0
7;"Bat 63";7;1
7;"Bat 63";8;0
7;"Bat 63";9;0
7;"Bat 63";10;0
7;"Bat 63";11;1
7;"Bat 63";12;0
7;"Bat 63";13;0
7;"Bat 63";14;0
7;"Bat 63";15;2
7;"Bat 63";16;0
7;"Bat 63";17;0
7;"Bat 63";18;0
7;"Bat 63";19;0
7;"Bat 63";20;1
7;"Bat 63";21;0
7;"Bat 63";22;0
7;"Bat 63";23;0
7;"Bat 63";24;2
7;"Bat 63";25;0
7;"Bat 63";26;0
7;"Bat 63";27;0
7;"Bat 63";28;0
7;"Bat 63";29;2
7;"Bat 63";30;0
7;"Bat 63";31;0
7;"Bat 63";32;0
7;"Bat 63";33;0
7;"Bat 63";34;0
7;"Bat 63";35;1
7;"Bat 63";36;0
7;"Bat 63";37;0
7;"Bat 63";38;0
7;"Bat 63";39;0
7;"Bat 63";40;0
7;"Bat 63";41;0
7;"Bat 63";42;1
7;"Bat 63";43;0
7;"Bat 63";44;0
7;"Bat 63";45;0
7;"Bat 63";46;0
7;"Bat 63";47;2
7;"Bat 63";48;0
7;"Bat 63";49;0
7;"Bat 63";50;0
7;"Bat 63";51;0
7;"Bat 63";52;1
7;"Bat 63";53;0
7;"Bat 63";54;0
7;"Bat 63";55;0
7;"Bat 63";56;2
7;"Bat 63";57;0
7;"Bat 67";1;0
7;"Bat 67";2;0
7;"Bat 67";3;0
7;"Bat 67";4;0
7;"Bat 67";5;0
7;"Bat 67";6;0
7;"Bat 67";7;1
7;"Bat 67";8;0
7;"Bat 67";9;0
7;"Bat 67";10;0
7;"Bat 67";11;1
7;"Bat 67";12;0
7;"Bat 67";13;0
7;"Bat 67";14;0
7;"Bat 67";15;2
7;"Bat 67";16;0
7;"Bat 67";17;0
7;"Bat 67";18;0
7;"Bat 67";19;0
7;"Bat 67";20;1
7;"Bat 67";21;0
7;"Bat 67";22;0
7;"Bat 67";23;0
7;"Bat 67";24;2
7;"Bat 67";25;0
7;"Bat 67";26;0
